Site ID,Latitude,Longitude,PM2.5,AQI
120013012,29.5661,-82.2661, 7.0763,29.3837
120030002,30.2011,-82.4411, 8.0037,32.9261
120050006,30.1304,-85.7315, 8.6923,35.2110
120090007,28.0536,-80.6286, 7.4553,30.7135
120110033,26.0735,-80.3384, 6.3824,26.3690
120110034,26.0539,-80.2569, 6.5795,27.0832
120110035,26.1327,-80.1698, 9.4382,38.4318
120112003,26.2911,-80.0964, 7.0039,28.8306
120115005,26.2942,-80.1764, 8.3683,34.1250
120170006,28.9586,-82.6430, 8.4375,34.7734
120179000,28.7487,-82.5548, 5.4344,22.6803
120210004,26.2701,-81.7110, 7.7903,32.1739
120230002,30.1781,-82.6192, 9.0630,36.5152
120310032,30.3563,-81.6354, 9.9519,40.2639
120310077,30.4777,-81.5873, 8.9091,36.4515
120310098,30.1358,-81.6340, 8.3005,34.1014
120310099,30.3547,-81.5478, 7.0556,29.2781
120310100,30.2603,-81.4536, 8.3851,34.6374
120310108,30.2628,-81.6068, 8.8282,35.9479
120330004,30.5254,-87.2036, 9.4504,37.8959
120470015,30.4266,-82.7947, 7.9846,33.1538
120470017,30.4260,-82.7954, 8.9265,36.6306
120570112,27.7797,-82.4198, 8.8781,36.3352
120570113,27.9551,-82.4695, 8.0271,33.1971
120571065,27.8925,-82.5384, 8.9497,36.6221
120573002,27.9657,-82.2304, 7.3552,30.4081
120590004,30.8486,-85.6039, 9.2858,37.6438
120710005,26.6020,-81.8779, 7.4145,30.5229
120730012,30.4397,-84.3464, 8.5992,34.9413
120830003,29.1705,-82.1006, 7.8729,32.6314
120850007,27.1725,-80.2407, 8.1751,33.2406
120860030,25.3912,-80.6808, 4.3767,18.2083
120860033,25.9419,-80.3264, 6.0598,24.9573
120860034,25.6833,-80.3997, 7.7453,31.8018
120861016,25.7942,-80.2156, 7.8433,32.1788
120866001,25.4719,-80.4828, 7.5277,30.7013
120952002,28.5964,-81.3625, 6.6482,27.5912
120990008,26.7248,-80.6664, 6.6244,27.3945
120990022,26.6876,-80.2196, 5.9942,24.5378
120992005,26.4569,-80.0928, 7.2992,29.9278
121030004,27.9467,-82.7318, 6.9740,28.9141
121030018,27.7859,-82.7399, 7.6028,31.4074
121035002,28.0903,-82.7007, 8.1364,33.5650
121056006,28.0289,-81.9722, 7.8728,32.5058
121130015,30.3941,-87.0080, 8.4441,34.3857
121150013,27.2906,-82.5072, 7.8597,32.3939
121152002,27.0892,-82.3626, 8.2414,33.7669
121171002,28.7461,-81.3106, 7.4363,30.6554
121275002,29.2067,-81.0525, 8.3683,34.3914
121290001,30.0925,-84.1611, 6.6875,27.5702
